"Status","RelativePath","EuroLength","EuruLength","EuroLastWriteUtc","EuruLastWriteUtc"
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\03_BREAKOUT_CONFIRMATION\BRIEFING.md","3711","","2026-04-15T06:41:59.9950136Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\03_BREAKOUT_CONFIRMATION\OUTPUT_FORMAT.md","4292","","2026-04-15T06:42:21.8183523Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\03_BREAKOUT_CONFIRMATION\PROMPT.md","3806","","2026-04-15T06:41:38.4479681Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\04_ALERT_RADAR\BRIEFING.md","4032","","2026-04-15T06:43:06.6671563Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\04_ALERT_RADAR\OUTPUT_FORMAT.md","5018","","2026-04-15T06:43:26.6860200Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\04_ALERT_RADAR\PROMPT.md","3746","","2026-04-15T06:42:44.6339410Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\05_MARKET_REGIME\BRIEFING.md","3909","","2026-04-15T06:44:12.1819396Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\05_MARKET_REGIME\OUTPUT_FORMAT.md","5417","","2026-04-15T06:44:36.4450057Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\05_MARKET_REGIME\PROMPT.md","3937","","2026-04-15T06:43:51.5392629Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\04_AGENTES\BREAKOUT_LAYER\05_SCORING\configs\breakout_weights_v1.yaml","11648","","2026-04-15T07:02:46.6403515Z",""
